URL, SIZE, #OUTLINKS, Content-Type 
https://www.reuters.com/finance/stocks/analyst/icbk.bo,132521,147,text/html
https://www.reuters.com/article/us-court-h-lundbeck-eu-antitrust/denmarks-lundbeck-loses-eu-pay-for-delay-antitrust-appeal-iduskcn11e1v2,199659,70,text/html
https://www.reuters.com/investigates/static/4-0-0/en/favicon.ico?v=103217070219,546,0,image/x-icon
https://www.reuters.com/article/us-cricket-test-zaf-aus-tampering-sponso/cricket-australia-loses-major-sponsor-over-players-conspiracy-to-cheat-iduskbn1h43hz,208268,67,text/html
https://www.reuters.com/article/us-usa-military-congress/senate-hearings-to-probe-unsafe-housing-of-u-s-military-families-iduskcn1po37f,209495,76,text/html
https://www.reuters.com/article/us-teckro-digital/irish-drug-trial-technology-firm-teckro-wins-25-million-injection-iduskcn1q30xq,196907,67,text/html
https://www.reuters.com/journalists/kirsti-knolle,131235,148,text/html
https://www.reuters.com/finance/stocks/chart/bdev.l,114649,138,text/html
https://www.reuters.com/article/us-myanmar-journalists/myanmar-authorities-drop-incitement-charges-against-journalists-iduskcn1ne18c,199556,68,text/html
https://www.reuters.com/finance/stocks/officer-profile/brby.l/1738864,115318,144,text/html
https://www.reuters.com/article/europe-stocks/european-shares-ease-as-publicis-gea-and-tui-earnings-weigh-idusl5n2022t8,196193,63,text/html
https://www.reuters.com/sectors/industries/rankings?industrycode=120&view=institutionalholdings,153941,220,text/html
https://www.reuters.com/finance/stocks/nrz.n/key-developments/article/3979380,113025,142,text/html
https://www.reuters.com/article/icici-bank-results/refile-indias-icici-bank-third-quarter-profit-slips-2-7-pct-idusl3n1zu4ds,191484,64,text/html
https://www.reuters.com/article/us-investment-yearend-stocks/outsized-u-s-stock-gains-may-not-be-in-the-cards-for-2015-iduskcn0j50dp20141121,203672,68,text/html
https://www.reuters.com/article/us-latam-summit-pemex-iduskbn1as00f,198393,67,text/html
https://www.reuters.com/video/2019/02/14/putin-gleitet-dahin?channelname=news%2bagency&videochannel=118261&videoid=514813555,284969,203,text/html
https://www.reuters.com/finance/stocks/overview/bakk.l,119975,145,text/html
https://www.reuters.com/journalists/nelson-renteria,131697,148,text/html
https://www.reuters.com/sectors/industries/rankings?industrycode=6&view=size,148216,207,text/html
https://www.reuters.com/article/europe-stocks-results-idusl5n2026g3,202764,66,text/html
https://www.reuters.com/article/us-rugby-mlr-los-angeles-iduskbn1k11x2,194377,66,text/html
https://www.reuters.com/article/us-commodities-summit-gggi-iduskcn1n651b,201879,68,text/html
https://www.reuters.com/article/uk-people-rkelly/sonys-rca-parts-ways-with-r-kelly-after-abuse-uproar-media-reports-iduskcn1pc2fb,200554,68,text/html
